,W,L
2019,58,24
2018,59,23
2017,51,31
2016,56,26
2015,49,33
2014,48,34
2013,34,48
2012,23,43
2011,22,60
2010,40,42
2009,33,49
2008,41,41
2007,47,35
2006,27,55
2005,33,49
2004,33,49
2003,24,58
2002,42,40
2001,47,35
2000,45,37
1999,23,27
1998,16,66
1997,30,52
1996,21,61
