,W,L
2019,33,49
2018,24,58
2017,33,49
2016,42,40
2015,50,32
2014,49,33
2013,41,41
2012,36,30
2011,57,25
2010,55,27
2009,50,32
2008,51,31
2007,67,15
2006,60,22
2005,58,24
2004,52,30
2003,60,22
2002,57,25
2001,53,29
2000,40,42
1999,19,31
1998,20,62
1997,24,58
1996,26,56
1995,36,46
1994,13,69
1993,11,71
1992,22,60
1991,28,54
1990,47,35
1989,38,44
1988,53,29
1987,55,27
1986,44,38
1985,44,38
1984,43,39
1983,38,44
1982,28,54
1981,15,67
