,W,L
2019,42,40
2018,28,54
2017,20,62
2016,21,61
2015,38,44
2014,44,38
2013,49,33
2012,22,44
2011,24,58
2010,12,70
2009,34,48
2008,34,48
2007,41,41
2006,49,33
2005,42,40
2004,47,35
2003,49,33
2002,52,30
2001,26,56
2000,31,51
1999,16,34
1998,43,39
1997,26,56
1996,30,52
1995,30,52
1994,45,37
1993,43,39
1992,40,42
1991,26,56
1990,17,65
1989,26,56
1988,19,63
1987,24,58
1986,39,43
1985,42,40
1984,45,37
1983,49,33
1982,44,38
1981,24,58
1980,34,48
1979,37,45
1978,24,58
1977,22,60
