,W,L
2019,33,49
2018,22,60
2017,43,39
2016,42,40
2015,55,27
2014,50,32
2013,56,26
2012,41,25
2011,46,36
2010,40,42
2009,24,58
2008,22,60
2007,22,60
2006,49,33
2005,45,37
2004,50,32
2003,28,54
2002,23,59
2001,23,59
2000,22,60
1999,8,42
1998,19,63
1997,14,68
1996,15,67
