,W,L
2019,36,46
2018,47,35
2017,31,51
2016,29,53
2015,16,66
2014,40,42
2013,31,51
2012,26,40
2011,17,65
2010,15,67
2009,24,58
2008,22,60
2007,32,50
2006,33,49
2005,44,38
2004,58,24
2003,51,31
2002,50,32
2001,47,35
2000,50,32
1999,25,25
1998,45,37
1997,40,42
1996,26,56
1995,21,61
1994,20,62
1993,19,63
1992,15,67
1991,29,53
1990,22,60
