,W,L
2019,42,40
2018,25,57
2017,29,53
2016,35,47
2015,25,57
2014,23,59
2013,20,62
2012,37,29
2011,52,30
2010,59,23
2009,59,23
2008,52,30
2007,40,42
2006,36,46
2005,36,46
2004,21,61
2003,42,40
2002,44,38
2001,43,39
2000,41,41
1999,33,17
1998,41,41
1997,45,37
1996,60,22
1995,57,25
1994,50,32
1993,41,41
1992,21,61
1991,31,51
1990,18,64
